"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
India (IND),26.166981,Spleen/bone,"152",http://www.ncbi.nlm.nih.gov/pubmed/1938818,1938817,-1,S.K Medical College Hospital,240,1991,Pentamidine isethionate,Changing response to diamidine compounds in cases of kala-azar unresponsive to antimonial.,India Subcontinent,85.391184,Published,"Jha SN, Singh NK, Jha TK.",Pentamidine,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.166981,Spleen/bone,"152",http://www.ncbi.nlm.nih.gov/pubmed/1938818,1938817,-1,S.K Medical College Hospital,240,1991,Pentamidine,Changing response to diamidine compounds in cases of kala-azar unresponsive to antimonial.,India Subcontinent,85.391184,Published,"Jha SN, Singh NK, Jha TK.",Pentamidine,Comparative,0,Parasitological,Unspecified,vl,
Bangladesh (BGD),24.704209,Spleen/bone,"198",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558065, NCT01122774,"Community Based Medical College, Trishal,Mymensingh, Bangladesh",602,2017,Miltefosine,"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.388805,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
Bangladesh (BGD),24.704209,Spleen/bone,"198",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558065, NCT01122774,"Community Based Medical College, Trishal,Mymensingh, Bangladesh",602,2017,Liposomal Amphotericin B (L-AmB),"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.388805,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
Bangladesh (BGD),24.704209,Spleen/bone,"198",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558065, NCT01122774,"Community Based Medical College, Trishal,Mymensingh, Bangladesh",602,2017,Paromomycin,"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.388805,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
India (IND),26.121473,,"256",https://pubmed.ncbi.nlm.nih.gov/27398387/,27398387,,"Kala-Azar Medical Research Center, Muzaffarpur, India",31,2014,Paromomycin,Efficacy and Safety of Paromomycin in Treatment of Post-Kala-Azar Dermal Leishmaniasis.,India Subcontinent,85.368752,Published,"Shyam Sundar, Anup Singh, Anurag Tiwari, Saurabh Shukla, Jaya Chakravarty, Madhukar Rai ","",Single-arm trial,0,Mixed,No,pkdl,
India (IND),28.6448,,"261",https://pubmed.ncbi.nlm.nih.gov/21561437/,21561437,,"Safdarjung Hospital Campus, New Delhi, India",26,2011,Miltefosine,Miltefosine as an effective choice in the treatment of post-kala-azar dermal leishmaniasis. ,India Subcontinent,77.216721,Published,"V Ramesh, G K Katara, S Verma, P Salotra","",Single-arm trial,0,Mixed,No,pkdl,
India (IND),25.996603,,"228",https://www.ncbi.nlm.nih.gov/pubmed/27645786,27645786,-9,Primary health centre in Baniyapur of Saran District of Bihar,646,2016,Miltefosine,"Pharmacovigilance of Miltefosine in Treatment of Visceral Leishmaniasis in Endemic Areas of Bihar, India",India Subcontinent,84.69031,Published,"Krishna Pandey, Vidyanand Ravidas, Niyamat A. Siddiqui, Sanjay K. Sinha, Rakesh B. Verma, Tripurari P. Singh, A. C. Dhariwal, R. K. Das Gupta, and Pradeep Das","",Single Group,1,Parasitological,No,vl,
India (IND),25.613271,Spleen/bone,"115",https://www.ncbi.nlm.nih.gov/pubmed/1337635,1337634,-9,Tripolia social service hospital,24,1992,Sodium stibogluconate,"Treatment of visceral leishmaniasis (kala-azar) with aminosidine (= paromomycin)-antimonial combinations, a pilot study in Bihar, India.",India Subcontinent,85.18754,Published,"Thakur CP, Olliaro P, Gothoskar S, Bhowmick S, Choudhury BK, Prasad S, Kumar M, Verma BB.",Sodium stibogluconate; Paromomycin,Single Group,0,Parasitological,Unspecified,vl,
India (IND),25.613271,Spleen/bone,"115",https://www.ncbi.nlm.nih.gov/pubmed/1337635,1337634,-9,Tripolia social service hospital,24,1992,Paromomycin,"Treatment of visceral leishmaniasis (kala-azar) with aminosidine (= paromomycin)-antimonial combinations, a pilot study in Bihar, India.",India Subcontinent,85.18754,Published,"Thakur CP, Olliaro P, Gothoskar S, Bhowmick S, Choudhury BK, Prasad S, Kumar M, Verma BB.",Sodium stibogluconate; Paromomycin,Single Group,0,Parasitological,Unspecified,vl,
Nepal (NPL),26.80877,,"186",,,ACTRN12610000130066,"B. P. Koirala Institute of Health Sciences (BPKIHS),",35,,Liposomal Amphotericin B (L-AmB),Liposomal amphotericin B for the treatment of Nepalese patients with visceral leishmaniasis,India Subcontinent,87.262131,Completed,Suman Rijal,Liposomal Amphotericin B,Single Group,0,Mixed,Unspecified,vl,
India (IND),22.575014,Spleen/bone,"211",,,CTRI/2017/02/007773,"School of Tropical Medicine, Calcutta Medical College, Kolkata, India",564,,Liposomal Amphotericin B (L-AmB),"A Phase III, Open Label, Randomized Trial of Three Single Dose Treatment Regimens of FungisomeTM (Either Alone or in Combination with Miltefosine) Compared with Single Dose Treatment Regimen of AmBisome®, for Visceral Leishmaniasis (VL) in India",India Subcontinent,88.359621,Active,"Shyam Sundar, Krishna Pandey, Rama Prasad Goswami, Lily Verma, Ranjana K Seth",Miltefosine; Liposomal Amphotericin B,Comparative,1,Parasitological,Unspecified,vl,
India (IND),26.087327,,"227",https://www.ncbi.nlm.nih.gov/pubmed/27645786,27645786,-9,Primary health centre in Paroo of Muzaffarpur,646,2016,Miltefosine,"Pharmacovigilance of Miltefosine in Treatment of Visceral Leishmaniasis in Endemic Areas of Bihar, India",India Subcontinent,85.062969,Published,"Krishna Pandey, Vidyanand Ravidas, Niyamat A. Siddiqui, Sanjay K. Sinha, Rakesh B. Verma, Tripurari P. Singh, A. C. Dhariwal, R. K. Das Gupta, and Pradeep Das","",Single Group,1,Parasitological,No,vl,
India (IND),26.118589,Spleen,"96",http://www.ncbi.nlm.nih.gov/pubmed/9230004,9230003,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",60,1997,Amphotericin B lipid complex (ABLC),"Short-course, low-dose amphotericin B lipid complex therapy for visceral leishmaniasis unresponsive to antimony.",India Subcontinent,85.400719,Published,"Sundar S, Agrawal NK, Sinha PR, Horwith GS, Murray HW.",Amphotericin B lipid complex,Dose finding,0,Parasitological,No,vl,
India (IND),26.118589,Unspecified,"222",,,CTRI/2017/05/008656,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",130,,Amphotericin B," A multicenter, open label, randomized, two treatment, parallel design, steady state study to compare the bioavailability of the Test product [Amphotericin B (Liposome for injection) 50 mg/vial, Cipla Ltd., India] with Reference product [AmBisomeÂ® (Amphotericin B) Liposome for injection 50 mg/vial), Gilead life sciences, USA] in adult patients with visceral leishmaniasis.",India Subcontinent,85.400719,Active,"CP Thakur, Rama Prasad Goswami,  Shyam Sundar, Krishna Pandey",Liposomal Amphotericin B,Comparative,0,Unspecified,Unspecified,vl,
India (IND),26.118589,Spleen/bone,"16",http://www.ncbi.nlm.nih.gov/pubmed/21633025,21633025,NCT00381394,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",61,2011,Sitamaquine,"Pharmacokinetics of oral sitamaquine taken with or without food and safety and efficacy for treatment of visceral leishmaniais: a randomized study in Bihar, India.",India Subcontinent,85.400719,Published,"Sundar S, Sinha PK, Dixon SA, Buckley R, Miller AK, Mohamed K, Al-Banna M.",Sitamaquine; Amphotericin B,Comparative,0,Parasitological,No,vl,
India (IND),26.118589,Spleen/bone,"16",http://www.ncbi.nlm.nih.gov/pubmed/21633025,21633025,NCT00381394,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",61,2011,Amphotericin B deoxycholate,"Pharmacokinetics of oral sitamaquine taken with or without food and safety and efficacy for treatment of visceral leishmaniais: a randomized study in Bihar, India.",India Subcontinent,85.400719,Published,"Sundar S, Sinha PK, Dixon SA, Buckley R, Miller AK, Mohamed K, Al-Banna M.",Sitamaquine; Amphotericin B,Comparative,0,Parasitological,No,vl,
India (IND),25.620021,Spleen/bone,"29",http://www.ncbi.nlm.nih.gov/pubmed/11127251,11127250,-9,Patna Medical College Hospital,150,2000,Sodium stibogluconate,"A prospective randomized, comparative, open-label trial of the safety and efficacy of paromomycin (aminosidine) plus sodium stibogluconate versus sodium stibogluconate alone for the treatment of visceral leishmaniasis.",India Subcontinent,85.159811,Published,"Thakur CP, Kanyok TP, Pandey AK, Sinha GP, Zaniewski AE, Houlihan HH, Olliaro P.",Sodium stibogluconate; Paromomycin,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen,"38",http://www.ncbi.nlm.nih.gov/pubmed/17682989,17682989,NCT00310506,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",1485,2007,Amphotericin B deoxycholate,Amphotericin B treatment for Indian visceral leishmaniasis: response to 15 daily versus alternate-day infusions.,India Subcontinent,85.400719,Published,"Sundar S, Chakravarty J, Rai VK, Agrawal N, Singh SP, Chauhan V, Murray HW.",Amphotericin B deoxycholate,Dose finding,0,Parasitological,No,vl,
India (IND),25.620021,Spleen,"41",http://www.ncbi.nlm.nih.gov/pubmed/8707362,8707361,-9,Patna Medical College Hospital,288,1996,Amphotericin B deoxycholate,Comparison of regimens of amphotericin B deoxycholate in kala-azar.,India Subcontinent,85.159811,Published,"Thakur CP, Sinha GP, Pandey AK.",Amphotericin B deoxycholate,Dose finding,0,Parasitological,No,vl,
India (IND),25.274455,Spleen/bone,"61",http://www.ncbi.nlm.nih.gov/pubmed/11049799,11049798,-9,"Institutes of Medical Sciences, Banaras Hindu University, Varanasi, India.",320,2000,Sodium stibogluconate,Failure of pentavalent antimony in visceral leishmaniasis in India: report from the center of the Indian epidemic.,India Subcontinent,82.997337,Published,"Sundar S, More DK, Singh MK, Singh VP, Sharma S, Makharia A, Kumar PC, Murray HW.",Sodium stibogluconate,Single Group,1,Parasitological,Unspecified,vl,
India (IND),25.599832,,"243",,,NCT03636659; CTRI/2018/04/013350,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",140,,Liposomal Amphotericin B (L-AmB),Steady State Global Bioequivalence Study of Amphotericin B Liposome for Injection 50 mg/ Vial in Fed Condition,India Subcontinent,85.195326,Completed,"Nagesh Meda, Sajid Mohd, Subhra Lahiri, Krishna Pandey, Shyam Sunda, Dinesh Mondal","",Comparative,1,Serological,No,vl,Bangladesh
India (IND),25.59971,,"235",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,"Rajendra Memorial Research Institute of Medical Sciences, Patna",1761,2018,Miltefosine,"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,85.19769,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.59971,,"235",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,"Rajendra Memorial Research Institute of Medical Sciences, Patna",1761,2018,Liposomal Amphotericin B (L-AmB),"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,85.19769,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.59971,,"235",https://www.ncbi.nlm.nih.gov/pubmed/30346949,30346949,CTRI/2012/08/002891,"Rajendra Memorial Research Institute of Medical Sciences, Patna",1761,2018,Paromomycin,"Field safety and effectiveness of new visceral leishmaniasis treatment regimens within public health facilities in Bihar, India",India Subcontinent,85.19769,Published,"Vishal Goyal, Raman Mahajan, Krishna Pandey, Shambhu Nath Singh, Ravi Shankar Singh, Nathalie Strub-Wourgaft, Fabiana Alves, Vidya Nand Rabi Das, Roshan Kamal Topno, Bhawna Sharma, Manica Balasegaram, Caryn Bern, Allen Hightower, Suman Rijal, Sally Ellis, Temmy Sunyoto, Sakib Burza, Nines Lima, Pradeep Das, Jorge Alvar","",Non-comparative multi-arm,1,Mixed,No,vl,
India (IND),25.793202,,"226",https://www.ncbi.nlm.nih.gov/pubmed/27645786,27645786,-9,District hospital in Samastipur District,646,2016,Miltefosine,"Pharmacovigilance of Miltefosine in Treatment of Visceral Leishmaniasis in Endemic Areas of Bihar, India",India Subcontinent,85.814608,Published,"Krishna Pandey, Vidyanand Ravidas, Niyamat A. Siddiqui, Sanjay K. Sinha, Rakesh B. Verma, Tripurari P. Singh, A. C. Dhariwal, R. K. Das Gupta, and Pradeep Das","",Single Group,1,Parasitological,No,vl,
Bangladesh (BGD),24.6333,,"252",https://pubmed.ncbi.nlm.nih.gov/29554244/,29554244,NCT03311607,"MSF leishmaniasis clinic, Fulbaria upazila, Mymensingh district, Bangladesh",280,2018,Liposomal Amphotericin B (L-AmB), Safety and Effectiveness of Short-Course AmBisome in the Treatment of Post-Kala-Azar Dermal Leishmaniasis: A Prospective Cohort Study in Bangladesh,India Subcontinent,90.2667,Published,"Margriet den Boer, Asish Kumar Das, Fatima Akhter, Sakib Burza, V Ramesh, Be-Nazir Ahmed, Eduard E Zijlstra, Koert Ritmeijer","",Single-arm trial,0,Mixed,Unspecified,pkdl,
Sudan (SDN),13.511629,bone/lymph,"206",,,NCT01980199,"El Hassan Centre for Tropical Medicine, Doka,Sudan",66,,Fexinidazole,Trial to Determine Efficacy of Fexinidazole in Visceral Leihmaniasis Patients in Sudan,Eastern Africa,35.740262,Terminated,"Ahmed M Musa, E. AG Khalil, Nathalie Strub-Wourgaft, Séverine Blesson",Fexinidazole,Single Group,0,Parasitological,Unspecified,vl,
India (IND),25.602357,Spleen,"135",http://www.ncbi.nlm.nih.gov/pubmed/17202605,17202605,-9,Nalanda Medical College,64,2006,Miltefosine,Miltefosine in children with visceral leishmaniasis.,India Subcontinent,85.197018,Published,"Singh UK, Prasad R, Kumar R, Jaiswal BP.",Miltefosine,Single Group,0,Parasitological,No,vl,
Uganda (UGA),1.233932,,"232",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5315726/,,-9,Uganda - Site Unknown,3126,2017,Sodium stibogluconate,Safety and Effectiveness of Sodium Stibogluconate and Paromomycin Combination for the Treatment of Visceral Leishmaniasis in Eastern Africa: Results from a Pharmacovigilance Programme,Eastern Africa,32.413367,Published,"Robert Kimutai, Ahmed M. Musa, Simon Njoroge, Raymond Omollo, Fabiana Alves, Asrat Hailu, Eltahir A. G. Khalil, Ermias Diro, Peninah Soipei, Brima Musa, Khalid Salman, Koert Ritmeijer, Francois Chappuis, Juma Rashid, Rezika Mohammed, Asfaw Jameneh, Eyasu Makonnen, Joseph Olobo, Lawrence Okello, Patrick Sagaki, Nathalie Strub, Sally Ellis, Jorge Alvar, Manica Balasegaram, Emilie Alirol, and Monique Wasunna","",Single Group,1,Mixed,Yes,vl,"Kenya, Sudan, Ethiopia"
Uganda (UGA),1.233932,,"232",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5315726/,,-9,Uganda - Site Unknown,3126,2017,Paromomycin,Safety and Effectiveness of Sodium Stibogluconate and Paromomycin Combination for the Treatment of Visceral Leishmaniasis in Eastern Africa: Results from a Pharmacovigilance Programme,Eastern Africa,32.413367,Published,"Robert Kimutai, Ahmed M. Musa, Simon Njoroge, Raymond Omollo, Fabiana Alves, Asrat Hailu, Eltahir A. G. Khalil, Ermias Diro, Peninah Soipei, Brima Musa, Khalid Salman, Koert Ritmeijer, Francois Chappuis, Juma Rashid, Rezika Mohammed, Asfaw Jameneh, Eyasu Makonnen, Joseph Olobo, Lawrence Okello, Patrick Sagaki, Nathalie Strub, Sally Ellis, Jorge Alvar, Manica Balasegaram, Emilie Alirol, and Monique Wasunna","",Single Group,1,Mixed,Yes,vl,"Kenya, Sudan, Ethiopia"
India (IND),26.118589,Spleen/bone,"114",http://www.ncbi.nlm.nih.gov/pubmed/11127252,11127251,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",120,2000,Sodium stibogluconate,Treatment of visceral leishmaniasis with injectable paromomycin (aminosidine). An open-label randomized phase-II clinical study.,India Subcontinent,85.400719,Published,"Thakur CP, Kanyok TP, Pandey AK, Sinha GP, Messick C, Olliaro P.",Sodium stibogluconate; Paromomycin,Dose finding,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen/bone,"114",http://www.ncbi.nlm.nih.gov/pubmed/11127252,11127251,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",120,2000,Paromomycin,Treatment of visceral leishmaniasis with injectable paromomycin (aminosidine). An open-label randomized phase-II clinical study.,India Subcontinent,85.400719,Published,"Thakur CP, Kanyok TP, Pandey AK, Sinha GP, Messick C, Olliaro P.",Sodium stibogluconate; Paromomycin,Dose finding,0,Parasitological,Unspecified,vl,
Kenya (KEN),0.4855854,Spleen,"113",http://www.ncbi.nlm.nih.gov/pubmed/2167523,2167522,-9,Kabarnet District Hospital,56,1990,Sodium stibogluconate,Treatment of visceral leishmaniasis in Kenya by aminosidine alone or combined with sodium stibogluconate.,Eastern Africa,35.74316,Published,"Chunge CN, Owate J, Pamba HO, Donno L.",Sodium stibogluconate; Paromomycin,Comparative,0,Parasitological,Unspecified,vl,
Kenya (KEN),0.4855854,Spleen,"113",http://www.ncbi.nlm.nih.gov/pubmed/2167523,2167522,-9,Kabarnet District Hospital,56,1990,Paromomycin,Treatment of visceral leishmaniasis in Kenya by aminosidine alone or combined with sodium stibogluconate.,Eastern Africa,35.74316,Published,"Chunge CN, Owate J, Pamba HO, Donno L.",Sodium stibogluconate; Paromomycin,Comparative,0,Parasitological,Unspecified,vl,
Kenya (KEN),-1.313005,Spleen/bone,"125",http://www.ncbi.nlm.nih.gov/pubmed/9615495,9615494,-9,"Kenya Medical Research institute, Nairobi, Kenya",87,1998,Liposomal Amphotericin B (L-AmB),Efficacy and safety of liposomal amphotericin B (AmBisome) for visceral leishmaniasis in endemic developing countries.,Eastern Africa,36.803282,Published,"Berman JD, Badaro R, Thakur CP, Wasunna KM, Behbehani K, Davidson R, Kuzoe F, Pang L, Weerasuriya K, Bryceson AD.",Liposomal Amphotericin B,Dose finding,1,Parasitological,Unspecified,vl,"Brazil, India"
Nepal (NPL),26.80877,Bone,"30",http://www.ncbi.nlm.nih.gov/pubmed/9740293,9740292,-9,"B. P. Koirala Institute of Health Sciences (BPKIHS),",54,1998,Sodium stibogluconate,A thirty-day course of sodium stibogluconate for treatment of Kala-azar in Nepal.,India Subcontinent,87.262131,Published,"Karki P, Koirala S, Parija SC, Hansdak SG, Das ML.",Sodium stibogluconate,Dose finding,0,Parasitological,Unspecified,vl,
India (IND),25.612677,,"251",https://pubmed.ncbi.nlm.nih.gov/9425363/,9425363,,"Kala-azar Research Centre, Patna, India",22,1997,Sodium stibogluconate,Amphotericin B is superior to sodium antimony gluconate in the treatment of Indian post-kala-azar dermal leishmaniasis,India Subcontinent,85.158875,Published,"CP Thakur, S Narain, N Kumar, SM Hassan, DK Jha, A Kumar ","",RCT,0,Mixed,No,pkdl,
India (IND),25.612677,,"251",https://pubmed.ncbi.nlm.nih.gov/9425363/,9425363,,"Kala-azar Research Centre, Patna, India",22,1997,Amphotericin B deoxycholate,Amphotericin B is superior to sodium antimony gluconate in the treatment of Indian post-kala-azar dermal leishmaniasis,India Subcontinent,85.158875,Published,"CP Thakur, S Narain, N Kumar, SM Hassan, DK Jha, A Kumar ","",RCT,0,Mixed,No,pkdl,
Tunisia,34.019934,Bone,"23",http://www.ncbi.nlm.nih.gov/pubmed/8708370,8708370,-9,Tunisia - Site unknown,10,1996,Liposomal Amphotericin B (L-AmB),Visceral leishmaniasis in HIV infected patients: treatment with high dose liposomal amphotericin B (AmBisome).,Mediterranean,9.330489,Published,"Russo R, Nigro LC, Minniti S, Montineri A, Gradoni L, Caldeira L, Davidson RN.",Amphotericin B,Single Group,1,Parasitological,Yes,vl,"Portugal, France"
India (IND),25.613897,Spleen/bone,"25",http://www.ncbi.nlm.nih.gov/pubmed/15035723,15035723,-9,"Balaji Uthan Sansthan, Patna, India",120,2004,Sodium stibogluconate,"A comparative evaluation of amphotericin B and sodium antimony gluconate, as first-line drugs in the treatment of Indian visceral leishmaniasis.",India Subcontinent,85.139591,Published,"Thakur CP, Narayan S.",Amphotericin B; Sodium stibogluconate,Comparative,0,Parasitological,No,vl,
India (IND),25.613897,Spleen/bone,"25",http://www.ncbi.nlm.nih.gov/pubmed/15035723,15035723,-9,"Balaji Uthan Sansthan, Patna, India",120,2004,Amphotericin B deoxycholate,"A comparative evaluation of amphotericin B and sodium antimony gluconate, as first-line drugs in the treatment of Indian visceral leishmaniasis.",India Subcontinent,85.139591,Published,"Thakur CP, Narayan S.",Amphotericin B; Sodium stibogluconate,Comparative,0,Parasitological,No,vl,
Brazil (BRA),-16.718505,,"200",,,NCT00378495,"Universidade Estadual de Montes Claros, Brazil",80,,Miltefosine,Miltefosine for Brazilian Visceral Leishmaniasis,South America,-43.879748,Terminated,Reynaldo Dietze,Miltefosine,Single Group,0,Parasitological,Unspecified,vl,
Kenya (KEN),-1.5234907,Spleen,"46",http://www.ncbi.nlm.nih.gov/pubmed/6130247,6130246,-9,Machakos Provincial Hospital,54,1983,Sodium stibogluconate,Comparison of two dosage schedules of sodium stibogluconate in the treatment of visceral leishmaniasis in Kenya.,Eastern Africa,37.264193,Published,"Anabwani GM, Ngira JA, Dimiti G, Bryceson AD.",Sodium stibogluconate,Dose finding,0,Parasitological,Unspecified,vl,
Brazil (BRA),-10.893701,Bone,"201",https://www.ncbi.nlm.nih.gov/pubmed/28662035,28662035,NCT01310739,"Hospital Universitário da Universidade Federal de Sergipe,Brazil",378,2017,Meglumine antimoniate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-37.066722,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-10.893701,Bone,"201",https://www.ncbi.nlm.nih.gov/pubmed/28662035,28662035,NCT01310739,"Hospital Universitário da Universidade Federal de Sergipe,Brazil",378,2017,Amphotericin B deoxycholate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-37.066722,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-10.893701,Bone,"201",https://www.ncbi.nlm.nih.gov/pubmed/28662035,28662035,NCT01310739,"Hospital Universitário da Universidade Federal de Sergipe,Brazil",378,2017,Liposomal Amphotericin B (L-AmB),"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-37.066722,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
India (IND),26.118589,Spleen,"54",http://www.ncbi.nlm.nih.gov/pubmed/22573857,22573856,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",567,2012,Miltefosine,Efficacy of miltefosine in the treatment of visceral leishmaniasis in India after a decade of use.,India Subcontinent,85.400719,Published,"Sundar S, Singh A, Rai M, Prajapati VK, Singh AK, Ostyn B, Boelaert M, Dujardin JC, Chakravarty J.",Miltefosine,Single Group,0,Parasitological,No,vl,
Brazil (BRA),-20.277539,Spleen/bone,"109",http://www.ncbi.nlm.nih.gov/pubmed/8110957,8110956,-1,"Tropical Medicine Unit, Federal University of Espirito Santo",20,1993,Amphotericin B colloidal dispersion (ABCD),Treatment of Brazilian kala-azar with a short course of amphocil (amphotericin B cholesterol dispersion).,South America,-40.304396,Published,"Dietze R, Milan EP, Berman JD, Grogl M, Falqueto A, Feitosa TF, Luz KG, Suassuna FA, Marinho LA, Ksionski G.",Amphotericin B dispersion,Dose finding,0,Parasitological,Unspecified,vl,
United Kingdom,54.925671,Bone,"93",http://www.ncbi.nlm.nih.gov/pubmed/8783691,8783690,-9,United Kingdom - site unknown,88,1996,Liposomal Amphotericin B (L-AmB),Short-course treatment of visceral leishmaniasis with liposomal amphotericin B (AmBisome).,Europe,-2.840688,Published,"Davidson RN, di Martino L, Gradoni L, Giacchino R, Gaeta GB, Pempinello R, Scotti S, Cascio A, Castagnola E, Maisto A, Gramiccia M, di Caprio D, Wilkinson RJ, Bryceson AD.",Liposomal Amphotericin B,Dose finding,1,Parasitological,No,vl,"Italy, Brazil"
India (IND),25.599832,Unspecified,"223",,,CTRI/2017/05/008656,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",130,,Amphotericin B," A multicenter, open label, randomized, two treatment, parallel design, steady state study to compare the bioavailability of the Test product [Amphotericin B (Liposome for injection) 50 mg/vial, Cipla Ltd., India] with Reference product [AmBisomeÂ® (Amphotericin B) Liposome for injection 50 mg/vial), Gilead life sciences, USA] in adult patients with visceral leishmaniasis.",India Subcontinent,85.195326,Active,"CP Thakur, Rama Prasad Goswami,  Shyam Sundar, Krishna Pandey",Liposomal Amphotericin B,Comparative,0,Unspecified,Unspecified,vl,
India (IND),25.620021,Spleen,"7",http://www.ncbi.nlm.nih.gov/pubmed/7886778,7886778,-9,Patna Medical College Hospital,22,1994,Amphotericin B - formulation unknown,Comparison of glucose versus fat emulsion in the preparation of amphotericin B for use in kala-azar.,India Subcontinent,85.159811,Published,Thakur CP.,Amphotericin B deoxycholate,Comparative,0,Parasitological,Unspecified,vl,
